factor,obs,ic_mean,ic_std,ic_ir,ic_positive_ratio,ic_tstat,rank_ic_mean,rank_ic_std,rank_ic_ir,rank_ic_positive_ratio,rank_ic_tstat
amihud_20,237.0,0.020476860881046027,0.11430919317104608,2.843691571234225,0.6160337552742616,2.757759525481771,0.020793966617293543,0.11744716352352984,2.8105743615808483,0.5991561181434599,2.725643067669387
rev_3,237.0,0.01094277126298425,0.18064866642688082,0.9615964066063791,0.510548523206751,0.9325384218221746,0.021820215413253182,0.17647274503992103,1.9628253708276617,0.540084388185654,1.9035117654858444
last30_momentum,237.0,0.013799949764029606,0.14759314056057493,1.4842655305849504,0.5358649789029536,1.4394132776988688,0.016461334318469804,0.14400327173920752,1.8146503060224306,0.540084388185654,1.7598143263756845
jump_ratio_5m,237.0,-0.0018991066974703682,0.09577027539008781,-0.3147885300037768,0.48945147679324896,-0.30527609812253326,0.009104864544611655,0.101775975604346,1.4201312537421542,0.5232067510548524,1.3772170414184546
rev_1,237.0,0.005922865926505383,0.19892994440153233,0.47264167305092863,0.5189873417721519,0.4583591586305969,0.010406717923330188,0.2061987643077302,0.8011761180616739,0.4936708860759494,0.7769657910594499
morning_momentum_30m,237.0,0.005922593740422997,0.18051459000673678,0.5208346921888903,0.5021097046413502,0.5050958578330901,0.006328042141653988,0.1804772261693684,0.5566051567206978,0.4978902953586498,0.53978539318614
ret_vol_corr_20,237.0,0.024300752158224963,0.14015363518869925,2.752425798842075,0.5991561181434599,2.669251666292364,0.0019994730971417767,0.1534383003860022,0.2068626368342061,0.5147679324894515,0.20061156173424546
minute_ret_skew_5m,237.0,0.00522496105382705,0.11704453094233062,0.7086506706700675,0.5147679324894515,0.6872363223382977,0.0013076504904117451,0.12268320432857101,0.16920252539974204,0.4810126582278481,0.16408948174157534
atr_norm_14,237.0,-0.06407025950696581,0.29959082852141494,-3.394909796019067,0.4092827004219409,-3.292320771643844,-0.006668608638192727,0.2789788671694732,-0.3794584204850985,0.4767932489451477,-0.3679917626097766
downside_vol_ratio_20,237.0,0.02001599830177658,0.1583107004129612,2.007091887448549,0.5527426160337553,1.9464406151213078,-0.004465856104159768,0.16456175688792302,-0.43080038276403354,0.5189873417721519,-0.41778224866808233
breakout_20,237.0,-0.02071304569438606,0.1966880725098149,-1.6717302814382315,0.4936708860759494,-1.6212131281423265,-0.006196024718959933,0.21223067687673855,-0.46345252528496134,0.4978902953586498,-0.44944769297131054
signed_vol_imbalance_5m,237.0,-0.007712687904793981,0.14636571457819256,-0.8365013976701213,0.4472573839662447,-0.811223594302233,-0.009209017111153179,0.16850845987503232,-0.8675446602569015,0.48523206751054854,-0.8413287765824505
realized_vol_20,237.0,-0.060299005165171664,0.29574727280805757,-3.2366047630508583,0.4092827004219409,-3.138799476642677,-0.015680756373472368,0.27958739265999066,-0.8903273070839547,0.45147679324894513,-0.8634229663808626
minute_up_ratio_5m,237.0,0.011172392442523967,0.15544132261512114,1.1409850915535278,0.5189873417721519,1.106506252820785,-0.010625600937679898,0.17382615302757418,-0.9703728853939325,0.4810126582278481,-0.9410496887336067
open_to_close_intraday,237.0,-0.009077935736035143,0.19336648651262334,-0.7452571790036784,0.48523206751054854,-0.7227366375176362,-0.013247214351043687,0.20104666914925093,-1.0459910095165508,0.4767932489451477,-1.0143827478486305
close_to_vwap_day,237.0,-0.007422541546495204,0.16463857552173713,-0.7156839992998455,0.48945147679324896,-0.6940571144455782,-0.012296089213627206,0.17616690420505723,-1.1080081461857503,0.4767932489451477,-1.0745258207200525
mom_20,237.0,0.01806863394767519,0.23090784153824181,1.2421867955044885,0.5189873417721519,1.2046497947888812,-0.016855589231482088,0.20914885415653234,-1.2793480744938732,0.5063291139240507,-1.240688116296295
mom_5,237.0,-0.001512331661175981,0.19173971049743158,-0.12520891363422937,0.4767932489451477,-0.12142529019072007,-0.015883684308577322,0.18489959964752356,-1.3636896563561824,0.47257383966244726,-1.3224810234905278
ma_gap_20,237.0,0.002043446150806095,0.21318186426665578,0.15216445407820983,0.5316455696202531,0.14756627509072184,-0.01689052150238469,0.19022198957775333,-1.4095568921982915,0.5063291139240507,-1.366962221040442
mom_10,237.0,-0.0008106348845463997,0.2089187701560032,-0.06159537432606418,0.5569620253164557,-0.05973405554653508,-0.018046460867630197,0.18553369356229807,-1.5440790268504918,0.48945147679324896,-1.4974193008369805
ma_gap_5,237.0,-0.008837871820709258,0.18244273537214817,-0.7689912423961154,0.4978902953586498,-0.745753493516008,-0.018403101590565293,0.18123590777425658,-1.611933223129498,0.4810126582278481,-1.5632230462309025
turn_ratio_5,237.0,-0.007276276728154175,0.10400639421136564,-1.110578950793716,0.4641350210970464,-1.0770189395123602,-0.013018135433993432,0.11297756501576968,-1.82918169039828,0.4345991561181435,-1.773906594358018
vol_ratio_20,237.0,-0.00992530131006598,0.11846765372238179,-1.3299771606191755,0.4388185654008439,-1.289787268236985,-0.018562251636013178,0.12493467051016104,-2.3585655479820615,0.4177215189873418,-2.2872932747757972
amount_ratio_20,237.0,-0.010548638948114968,0.12635906252874748,-1.325227083917595,0.42616033755274263,-1.2851807316480446,-0.020566661595915362,0.1298011497650953,-2.515275341401359,0.4008438818565401,-2.4392675359474403
