factor,category,description
amihud_20,liquidity,Amihud流动性（取负）
amount_ratio_20,liquidity,amount/20日均成交额
atr_norm_14,volatility,ATR14/close（取负）
body_ratio,price_action,实体占振幅比
breakout_20,trend,close/20日最高价-1
close_pos,price_action,收盘在高低区间位置
close_to_vwap_day,intraday_micro,收盘相对日内VWAP偏离
downside_vol_ratio_20,volatility,下行波动占比（取负）
intraday_range,volatility,日内振幅（取负）
jump_ratio_5m,intraday_micro,跳跃强度（取负）
last30_momentum,intraday_micro,尾盘30分钟动量
ma_cross_5_20,trend,MA5/MA20-1
ma_gap_10,trend,close/MA10-1
ma_gap_20,trend,close/MA20-1
ma_gap_5,trend,close/MA5-1
minute_realized_vol_5m,intraday_micro,5分钟收益实现波动（取负）
minute_ret_kurt_5m,intraday_micro,5分钟收益峰度（取负）
minute_ret_skew_5m,intraday_micro,5分钟收益偏度
minute_up_ratio_5m,intraday_micro,5分钟K线上涨占比
mom_10,trend,10日动量
mom_20,trend,20日动量
mom_5,trend,5日动量
morning_momentum_30m,intraday_micro,开盘前30分钟动量
open_to_close_intraday,intraday_micro,日内开收动量
overnight_gap,overnight,隔夜跳空
realized_vol_20,volatility,20日收益波动率（取负）
ret_vol_corr_20,flow,收益与量变20日相关
rev_1,reversal,1日反转（-ret_1d）
rev_3,reversal,3日反转（-ret_3d）
rsi14,oscillator,RSI14
signed_vol_imbalance_5m,intraday_micro,符号成交量失衡
turn_ratio_5,liquidity,换手率/5日均换手
vol_ratio_20,liquidity,volume/20日均量
vol_ratio_5,liquidity,volume/5日均量
vwap30_vs_day,intraday_micro,前30分钟VWAP相对日VWAP
