datetime,date,code
2025-01-02 09:45:00,2025-01-02,sh.600000
2025-01-02 09:45:00,2025-01-02,sh.600519
2025-01-02 09:45:00,2025-01-02,sz.000001
2025-01-02 10:00:00,2025-01-02,sh.600000
2025-01-02 10:00:00,2025-01-02,sh.600519
2025-01-02 10:00:00,2025-01-02,sz.000001
2025-01-02 10:15:00,2025-01-02,sh.600000
2025-01-02 10:15:00,2025-01-02,sh.600519
2025-01-02 10:15:00,2025-01-02,sz.000001
2025-01-03 09:45:00,2025-01-03,sh.600000
2025-01-03 09:45:00,2025-01-03,sh.600519
2025-01-03 09:45:00,2025-01-03,sz.000001
2025-01-03 10:00:00,2025-01-03,sh.600000
2025-01-03 10:00:00,2025-01-03,sh.600519
2025-01-03 10:00:00,2025-01-03,sz.000001
2025-01-03 10:15:00,2025-01-03,sh.600000
2025-01-03 10:15:00,2025-01-03,sh.600519
2025-01-03 10:15:00,2025-01-03,sz.000001
